Proxy                          | Response Time   | ISP                   ----------------------------------------------------------------------------
socks5://192.169.157.42:14891  | 4.08            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://192.169.233.35:16049  | 3.29            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://192.169.139.161:8975  | 3.56            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://166.62.84.121:12614   | 3.34            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://50.62.31.218:17470    | 4.08            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://37.122.210.22:51256   | 3.70            | 英国                     ----------------------------------------------------------------------------
socks5://203.100.75.133:9999   | 3.91            | 印度                     ----------------------------------------------------------------------------
socks5://175.43.176.182:7302   | 4.24            | 福建省泉州市 联通              ----------------------------------------------------------------------------
socks5://219.145.170.23:9999   | 4.06            | 陕西省渭南市 电信              ----------------------------------------------------------------------------
socks5://195.201.183.156:1080  | 5.18            | 俄罗斯                    ----------------------------------------------------------------------------
socks5://58.68.228.234:1234    | 4.44            | 香港特别行政区 SpeedyCloud    ----------------------------------------------------------------------------
socks5://192.169.202.104:12008 | 4.97            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://47.94.19.105:3001     | 4.49            | 北京市 阿里云                ----------------------------------------------------------------------------
socks5://192.169.140.100:16061 | 5.28            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://116.121.202.36:1080   | 4.28            | 韩国                     ----------------------------------------------------------------------------
socks5://103.250.157.39:6667   | 4.24            | 印度                     ----------------------------------------------------------------------------
socks5://183.6.50.25:1080      | 4.70            | 四川省成都市                 ----------------------------------------------------------------------------
socks5://94.230.179.46:9999    | 4.52            | 塞尔维亚                   ----------------------------------------------------------------------------
socks5://81.201.246.42:9999    | 4.88            | 俄罗斯                    ----------------------------------------------------------------------------
socks5://192.169.136.149:29049 | 5.16            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://192.169.197.122:5883  | 4.58            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://103.87.48.131:9999    | 5.32            | 印度                     ----------------------------------------------------------------------------
socks5://162.62.14.176:1080    | 5.17            | 俄罗斯 腾讯                 ----------------------------------------------------------------------------
socks5://103.250.167.227:6667  | 6.11            | 印度                     ----------------------------------------------------------------------------
socks5://47.94.90.99:3001      | 5.43            | 北京市 阿里云                ----------------------------------------------------------------------------
socks5://186.18.224.69:9999    | 6.45            | 阿根廷                    ----------------------------------------------------------------------------
socks5://50.62.31.218:12008    | 6.24            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://150.129.52.74:6667    | 5.67            | 印度                     ----------------------------------------------------------------------------
socks5://3.8.63.109:1080       | 6.82            | 英国 Amazon              ----------------------------------------------------------------------------
socks5://87.228.31.93:9999     | 6.59            | 俄罗斯                    ----------------------------------------------------------------------------
socks5://192.169.198.104:11567 | 6.55            | 美国 GoDaddy             ----------------------------------------------------------------------------
socks5://200.107.250.123:9999  | 8.41            | 厄瓜多尔                   ----------------------------------------------------------------------------
socks5://104.248.92.54:1200    | 8.29            | 美国                     ----------------------------------------------------------------------------
socks5://91.234.197.43:9999    | 8.35            | 乌克兰                    ----------------------------------------------------------------------------
socks5://190.214.20.10:9999    | 7.83            | 厄瓜多尔                   ----------------------------------------------------------------------------
socks5://78.187.10.145:9999    | 9.37            | 土耳其                    ----------------------------------------------------------------------------
socks5://77.240.225.112:6667   | 11.11           | 意大利                    ----------------------------------------------------------------------------
socks5://122.102.26.99:9999    | 17.59           | 印度                     ----------------------------------------------------------------------------
